variable,full_name,label,value_type,description,categories,categories_label
has_base_m23_survey_p2,BiB_Baseline.base_m23_survey_p2.has_base_m23_survey_p2,Has mother baseline survey (phases 2 & 3),decimal,NA,NA,NA
has_mbqp23_p2,BiB_Baseline.base_m23_survey_p2.has_mbqp23_p2,Has baseline questionnaire phase 2 or 3,decimal,NA,1,has
org2ffabirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2ffabirgrp_p2,Woman Cohort Members Partners Father: Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
org2fmubirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2fmubirgrp_p2,Woman Cohort Members Partners Mother: Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
org2fthbirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2fthbirgrp_p2,Woman Cohort Members Partner (father to child): Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
org2mfabirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2mfabirgrp_p2,Woman Cohort Members Father: Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
org2mgfbirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2mgfbirgrp_p2,Woman Cohort Members Maternal Grandfather: Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
org2mgmbirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2mgmbirgrp_p2,Woman Cohort Members Maternal Grandmother: Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
org2mmubirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2mmubirgrp_p2,Woman Cohort Members Mother: Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
org2mumbirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2mumbirgrp_p2,Woman Cohort Member: Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
org2pgfbirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2pgfbirgrp_p2,Woman Cohort Members Paternal Grandfather: Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
org2pgmbirgrp_p2,BiB_Baseline.base_m23_survey_p2.org2pgmbirgrp_p2,Woman Cohort Members Paternal Grandmother: Biraderi,decimal,NA,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Missing|Syed|Malik|Gujjar|Qureshi|Awaan|Sheikh|Qasabi|Other|Bains Rajput|Jatt|Pathan|Don't know|Rajput|Choudhry|Bains|Kashmiri|Mughal
